run_id,condition,arm,case_id,repo,task_success,code_correctness,convention_adherence,hallucination_check,efficiency,consulted_docs
baseline-run-1,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,True
baseline-run-1,baseline,v1,cm-002-validate-manifest,cert-manager-operator,5,4,4,3,False,True
baseline-run-1,baseline,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,True
baseline-run-1,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-1,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,5,3,False,True
baseline-run-1,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-1,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-1,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-1,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-1,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,4,4,False,True
baseline-run-1,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,3,3,False,True
baseline-run-2,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,True
baseline-run-2,baseline,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,True
baseline-run-2,baseline,v1,cm-003-optional-informer,cert-manager-operator,3,3,3,3,False,True
baseline-run-2,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-2,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,True
baseline-run-2,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,3,3,3,2,False,True
baseline-run-2,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-2,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-2,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-2,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,5,5,False,True
